name,path,hue,color_bucket,flat,silhouette_cluster,species,body_plan,type1
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/002-774Minior_SM_anime.png,2.0,red,[0 0 0 ... 0 0 0],6,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/031-774Minior_Violet_Dream.png,148.0,purple,[0 0 0 ... 0 0 0],0,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/000-774Minior-Core.png,169.0,pink,[0 0 0 ... 0 0 0],0,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/048-HOME774O.png,20.0,orange,[0 0 0 ... 0 0 0],4,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/047-HOME774I.png,96.0,blue,[0 0 0 ... 0 0 0],4,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/044-HOME774.png,6.0,red,[0 0 0 ... 0 0 0],4,Meteor Pokémon,bipedal,
MUDBRAY,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Mudbray/000-749Mudbray.png,9.0,red,[0 0 0 ... 0 0 0],3,Donkey Pokémon,quadrupedal,GROUND
MUDBRAY,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Mudbray/026-HOME749.png,9.0,red,[0 0 0 ... 0 0 0],3,Donkey Pokémon,quadrupedal,GROUND
MUDBRAY,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Mudbray/001-749Mudbray_SM_anime.png,9.0,red,[0 0 0 ... 0 0 0],1,Donkey Pokémon,quadrupedal,GROUND
MUDBRAY,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Mudbray/010-749Mudbray_Dream.png,8.0,red,[0 0 0 ... 0 0 0],3,Donkey Pokémon,quadrupedal,GROUND
CAMERUPT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Camerupt/063-323Camerupt_Dream.png,14.0,orange,[0 0 0 ... 0 0 0],6,Eruption Pokémon,bipedal,FIRE
CAMERUPT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Camerupt/001-323Camerupt.png,5.0,red,[0 0 0 ... 0 0 0],6,Eruption Pokémon,bipedal,FIRE
CAMERUPT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Camerupt/002-323Camerupt_AG_anime.png,7.0,red,[0 0 0 ... 0 0 0],6,Eruption Pokémon,bipedal,FIRE
CAMERUPT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Camerupt/150-HOME323_f.png,15.0,orange,[0 0 0 ... 0 0 0],3,Eruption Pokémon,bipedal,FIRE
CAMERUPT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Camerupt/152-HOME323.png,15.0,orange,[0 0 0 ... 0 0 0],3,Eruption Pokémon,bipedal,FIRE
NINJASK,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Ninjask/000-291Ninjask.png,178.0,pink,[0 0 0 ... 0 0 0],4,Ninja Pokémon,bipedal,BUG
NINJASK,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Ninjask/001-291Ninjask_AG_anime.png,14.0,orange,[29 29 28 ...  0  0  0],4,Ninja Pokémon,bipedal,BUG
NINJASK,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Ninjask/038-291Ninjask_Dream.png,23.0,orange,[0 0 0 ... 0 0 0],4,Ninja Pokémon,bipedal,BUG
NINJASK,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Ninjask/069-HOME291.png,21.0,orange,[0 0 0 ... 0 0 0],4,Ninja Pokémon,bipedal,BUG
OBSTAGOON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Obstagoon/000-862Obstagoon.png,111.0,blue,[0 0 0 ... 0 0 0],5,Blocking Pokémon,bipedal,DARK
OBSTAGOON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Obstagoon/017-HOME862.png,169.0,pink,[0 0 0 ... 0 0 0],5,Blocking Pokémon,bipedal,DARK
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/005-666Vivillon-High_Plains.png,11.0,orange,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/012-666Vivillon-Ocean.png,100.0,blue,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/011-666Vivillon-Monsoon.png,100.0,blue,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/195-666Vivillon_Continental_Dream.png,26.0,yellow,[0 0 0 ... 0 0 0],3,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/018-666Vivillon-Sun.png,28.0,yellow,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/013-666Vivillon-Pok%C3%A9_Ball.png,5.0,red,[0 0 0 ... 0 0 0],3,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/019-666Vivillon-Tundra.png,100.0,blue,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/199-666Vivillon_Garden_Dream.png,84.0,green,[0 0 0 ... 0 0 0],5,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/198-666Vivillon_Fancy_Dream.png,50.0,green,[0 0 0 ... 0 0 0],1,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/008-666Vivillon-Marine.png,99.0,blue,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/021-666Vivillon-Meadow_XY_anime.png,167.0,pink,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/000-666Vivillon-Archipelago.png,9.0,red,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/014-666Vivillon-Polar.png,112.0,blue,[0 0 0 ... 0 0 0],5,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/017-666Vivillon-Savanna.png,85.0,blue,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/006-666Vivillon-Icy_Snow.png,18.0,orange,[0 0 0 ... 0 0 0],0,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/015-666Vivillon-River.png,20.0,orange,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/007-666Vivillon-Jungle.png,59.0,green,[0 0 0 ... 0 0 0],5,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/002-666Vivillon-Elegant.png,131.0,purple,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/194-666Vivillon_Archipelago_Dream.png,14.0,orange,[0 0 0 ... 0 0 0],5,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/016-666Vivillon-Sandstorm.png,22.0,orange,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/010-666Vivillon-Modern.png,0.0,red,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/020-666Vivillon.png,165.0,pink,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/196-666Vivillon_Dream.png,168.0,pink,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/009-666Vivillon-Meadow.png,166.0,pink,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/004-666Vivillon-Garden.png,81.0,green,[0 0 0 ... 0 0 0],5,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/001-666Vivillon-Continental.png,28.0,yellow,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/003-666Vivillon-Fancy.png,41.0,green,[0 0 0 ... 0 0 0],4,Scale Pokémon,bipedal,BUG
VIVILLON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Vivillon/197-666Vivillon_Elegant_Dream.png,114.0,blue,[0 0 0 ... 0 0 0],5,Scale Pokémon,bipedal,BUG
SKARMORY,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Skarmory/105-HOME227.png,179.0,pink,[0 0 0 ... 0 0 0],5,Armor Bird Pokémon,avian,STEEL
SKARMORY,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Skarmory/048-227Skarmory_Dream.png,0.0,red,[41 48 57 ...  0  0  0],5,Armor Bird Pokémon,avian,STEEL
SKARMORY,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Skarmory/002-227Skarmory_OS_anime.png,179.0,pink,[0 0 0 ... 0 0 0],4,Armor Bird Pokémon,avian,STEEL
SKARMORY,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Skarmory/000-227Skarmory_GS.png,110.0,blue,[0 0 0 ... 0 0 0],4,Armor Bird Pokémon,avian,STEEL
SKARMORY,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Skarmory/001-227Skarmory.png,178.0,pink,[0 0 0 ... 0 0 0],5,Armor Bird Pokémon,avian,STEEL
ROCKRUFF,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Rockruff/002-744Rockruff_SM_anime_2.png,11.0,orange,[0 0 0 ... 0 0 0],6,Puppy Pokémon,bipedal,ROCK
ROCKRUFF,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Rockruff/003-744Rockruff_SM_anime.png,8.0,red,[0 0 0 ... 0 0 0],4,Puppy Pokémon,bipedal,ROCK
ROCKRUFF,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Rockruff/000-744Rockruff.png,6.0,red,[0 0 0 ... 0 0 0],4,Puppy Pokémon,bipedal,ROCK
ROCKRUFF,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Rockruff/010-744Rockruff_Dream.png,10.0,orange,[0 0 0 ... 0 0 0],4,Puppy Pokémon,bipedal,ROCK
ROCKRUFF,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Rockruff/040-HOME744.png,11.0,orange,[0 0 0 ... 0 0 0],3,Puppy Pokémon,bipedal,ROCK
TYRANITAR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Tyranitar/003-248Tyranitar_OS_anime.png,40.0,green,[0 0 0 ... 0 0 0],5,Armor Pokémon,bipedal,ROCK
TYRANITAR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Tyranitar/002-248Tyranitar.png,44.0,green,[0 0 0 ... 0 0 0],1,Armor Pokémon,bipedal,ROCK
TYRANITAR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Tyranitar/130-HOME248.png,42.0,green,[0 0 0 ... 0 0 0],3,Armor Pokémon,bipedal,ROCK
TYRANITAR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Tyranitar/061-248Tyranitar_Dream.png,43.0,green,[0 0 0 ... 0 0 0],6,Armor Pokémon,bipedal,ROCK
TYRANITAR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Tyranitar/000-248Tyranitar_GS.png,38.0,green,[0 0 0 ... 0 0 0],1,Armor Pokémon,bipedal,ROCK
TYRANITAR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Tyranitar/060-248Tyranitar_3D_Pro.png,46.0,green,[0 0 0 ... 0 0 0],6,Armor Pokémon,bipedal,ROCK
LUMINEON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Lumineon/000-457Lumineon.png,100.0,blue,[0 0 0 ... 0 0 0],5,Neon Pokémon,bipedal,WATER
LUMINEON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Lumineon/083-HOME457.png,98.0,blue,[0 0 0 ... 0 0 0],5,Neon Pokémon,bipedal,WATER
LUMINEON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Lumineon/081-HOME457_f.png,98.0,blue,[0 0 0 ... 0 0 0],5,Neon Pokémon,bipedal,WATER
LUMINEON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Lumineon/001-457Lumineon_DP_anime.png,99.0,blue,[255 255 255 ... 255 255 255],6,Neon Pokémon,bipedal,WATER
LUMINEON,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Lumineon/055-457Lumineon_Dream.png,100.0,blue,[0 0 0 ... 0 0 0],5,Neon Pokémon,bipedal,WATER
GOLBAT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Golbat/003-042Golbat.png,155.0,purple,[0 0 0 ... 0 0 0],5,Bat Pokémon,avian,POISON
GOLBAT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Golbat/183-HOME042_f.png,129.0,blue,[0 0 0 ... 0 0 0],4,Bat Pokémon,avian,POISON
GOLBAT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Golbat/005-042Golbat_OS_anime_2.png,146.0,purple,[0 0 0 ... 0 0 0],5,Bat Pokémon,avian,POISON
GOLBAT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Golbat/083-042Golbat_Dream.png,127.0,blue,[0 0 0 ... 0 0 0],5,Bat Pokémon,avian,POISON
GOLBAT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Golbat/001-042Golbat_RB.png,97.0,blue,[0 0 0 ... 0 0 0],5,Bat Pokémon,avian,POISON
GOLBAT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Golbat/004-042Golbat_AG_anime.png,146.0,purple,[52 76 88 ...  0  0  0],5,Bat Pokémon,avian,POISON
GOLBAT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Golbat/185-HOME042.png,129.0,blue,[0 0 0 ... 0 0 0],4,Bat Pokémon,avian,POISON
GOLBAT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Golbat/002-042Golbat_RG.png,97.0,blue,[0 0 0 ... 0 0 0],4,Bat Pokémon,avian,POISON
GOLBAT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Golbat/006-042Golbat_OS_anime.png,135.0,purple,[255 255 255 ... 255 255 255],2,Bat Pokémon,avian,POISON
GOLBAT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Golbat/000-042Golbat_Channel.png,113.0,blue,[0 0 0 ... 3 5 7],5,Bat Pokémon,avian,POISON
TORTERRA,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Torterra/002-389Torterra_DP_anime.png,11.0,orange,[0 0 0 ... 0 0 0],6,Continent Pokémon,bipedal,GRASS
TORTERRA,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Torterra/088-HOME389.png,73.0,green,[0 0 0 ... 0 0 0],3,Continent Pokémon,bipedal,GRASS
TORTERRA,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Torterra/001-389Torterra_Dream.png,75.0,green,[0 0 0 ... 0 0 0],6,Continent Pokémon,bipedal,GRASS
TORTERRA,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Torterra/000-389Torterra.png,16.0,orange,[0 0 0 ... 0 0 0],6,Continent Pokémon,bipedal,GRASS
WURMPLE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Wurmple/001-265Wurmple.png,179.0,pink,[0 0 0 ... 0 0 0],6,Worm Pokémon,serpentine,BUG
WURMPLE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Wurmple/002-265Wurmple_AG_anime.png,174.0,pink,[0 0 0 ... 0 0 0],6,Worm Pokémon,serpentine,BUG
WURMPLE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Wurmple/074-HOME265.png,174.0,pink,[0 0 0 ... 0 0 0],3,Worm Pokémon,serpentine,BUG
BEEDRILL,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Beedrill/001-015Beedrill_RG.png,30.0,yellow,[51 77  0 ...  0  0  0],4,Poison Bee Pokémon,insectoid,BUG
BEEDRILL,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Beedrill/066-015Beedrill_Dream.png,23.0,orange,[ 0  0  0 ... 19 31 40],4,Poison Bee Pokémon,insectoid,BUG
BEEDRILL,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Beedrill/004-015Beedrill_AG_anime.png,26.0,yellow,[0 0 0 ... 0 0 0],4,Poison Bee Pokémon,insectoid,BUG
BEEDRILL,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Beedrill/000-015Beedrill_RB.png,96.0,blue,[0 0 0 ... 0 0 0],4,Poison Bee Pokémon,insectoid,BUG
BEEDRILL,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Beedrill/185-HOME015.png,22.0,orange,[0 0 0 ... 0 0 0],4,Poison Bee Pokémon,insectoid,BUG
BEEDRILL,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Beedrill/005-015Beedrill_OS_anime_2.png,23.0,orange,[0 0 0 ... 0 0 0],5,Poison Bee Pokémon,insectoid,BUG
BEEDRILL,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Beedrill/003-015Beedrill.png,20.0,orange,[0 0 0 ... 0 0 0],4,Poison Bee Pokémon,insectoid,BUG
BEEDRILL,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Beedrill/006-015Beedrill_OS_anime.png,21.0,orange,[255 255 255 ... 255 255 255],2,Poison Bee Pokémon,insectoid,BUG
CATERPIE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Caterpie/062-010Caterpie_Dream.png,54.0,green,[0 0 0 ... 0 0 0],6,Worm Pokémon,serpentine,BUG
CATERPIE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Caterpie/162-HOME010.png,53.0,green,[0 0 0 ... 0 0 0],3,Worm Pokémon,serpentine,BUG
CATERPIE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Caterpie/006-010Caterpie_OS_anime.png,37.0,green,[255 255 255 ... 255 255 255],2,Worm Pokémon,serpentine,BUG
CATERPIE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Caterpie/002-010Caterpie_RG.png,26.0,yellow,[0 0 0 ... 0 0 0],1,Worm Pokémon,serpentine,BUG
CATERPIE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Caterpie/005-010Caterpie_OS_anime_2.png,44.0,green,[0 0 0 ... 0 0 0],1,Worm Pokémon,serpentine,BUG
CATERPIE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Caterpie/003-010Caterpie.png,49.0,green,[0 0 0 ... 0 0 0],1,Worm Pokémon,serpentine,BUG
CATERPIE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Caterpie/001-010Caterpie_RB.png,29.0,yellow,[0 0 0 ... 0 0 0],1,Worm Pokémon,serpentine,BUG
CATERPIE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Caterpie/000-010Caterpie_Channel.png,54.0,green,[0 0 0 ... 0 0 0],6,Worm Pokémon,serpentine,BUG
CATERPIE,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Caterpie/004-010Caterpie_AG_anime.png,44.0,green,[0 0 0 ... 0 0 0],1,Worm Pokémon,serpentine,BUG
